,(not set),Anonymous User,Registered User,Subscriber - Piano,Subscriber - Quadrant,Unknown,Segment total,Total Users,Total subscribers
2020-09-10,807.0,75766,3364,17764.0,,,97701.0,115964,17764.0
2020-09-11,404.0,65807,2019,14803.0,,135.0,83168.0,101911,14803.0
2020-09-12,135.0,45890,2961,15611.0,,,64597.0,84061,15611.0
2020-09-13,673.0,78053,2019,14534.0,,,95279.0,116099,14534.0
2020-09-14,673.0,66480,2691,16956.0,,,86800.0,102358,16956.0
2020-09-15,942.0,145072,2691,17226.0,,,165931.0,183137,17226.0
2020-09-16,269.0,92991,2153,20725.0,,135.0,116273.0,148619,20725.0
2020-09-17,269.0,108333,4845,22878.0,,,136325.0,177510,22878.0
2020-09-18,942.0,96759,2961,20590.0,,,121252.0,163335,20590.0
2020-09-19,269.0,97029,4576,20590.0,,135.0,122599.0,175876,20590.0
2020-09-20,135.0,93260,3364,17629.0,,,114388.0,162334,17629.0
2020-09-21,404.0,106180,3768,20725.0,,,131077.0,175797,20725.0
2020-09-22,673.0,101469,3768,21667.0,,,127577.0,162646,21667.0
2020-09-23,1211.0,79803,4172,20994.0,,135.0,106315.0,148417,20994.0
2020-09-24,404.0,97432,4979,24089.0,,,126904.0,185532,24089.0
2020-09-25,404.0,95817,3768,20052.0,,,120041.0,165382,20052.0
2020-09-26,269.0,74958,4710,16418.0,,,96355.0,129493,16418.0
2020-09-27,,60962,1480,15342.0,,135.0,77919.0,109437,15342.0
2020-09-28,404.0,65000,1480,19110.0,,135.0,86129.0,120760,19110.0
2020-09-29,673.0,73343,1749,18706.0,,,94471.0,119123,18706.0
2020-09-30,269.0,56521,2691,17898.0,,,77379.0,102711,17898.0
2020-10-01,942.0,67018,3499,20321.0,,,91780.0,113864,20321.0
2020-10-02,269.0,76035,2961,18033.0,,,97298.0,111519,18033.0
2020-10-03,135.0,58136,3499,19244.0,,,81014.0,117359,19244.0
2020-10-04,538.0,64731,2422,14803.0,,,82494.0,102536,14803.0
2020-10-05,538.0,54637,2153,16822.0,,,74150.0,91761,16822.0
2020-10-06,,44948,2153,15880.0,,,62981.0,78246,15880.0
2020-10-07,,43737,2019,18033.0,,,63789.0,80168,18033.0
2020-10-08,,42257,3768,18437.0,,135.0,64597.0,87261,18437.0
2020-10-09,135.0,36604,3095,16553.0,,,56387.0,72359,16553.0
2020-10-10,135.0,31356,3095,16956.0,,,51542.0,64696,16956.0
2020-10-11,673.0,39700,1346,14400.0,,,56119.0,72855,14400.0
2020-10-12,673.0,37143,2288,17629.0,,,57733.0,76439,17629.0
2020-10-13,538.0,61366,2961,24358.0,,135.0,89358.0,200792,24358.0
2020-10-14,673.0,55983,2153,18975.0,,,77784.0,111666,18975.0
2020-10-15,404.0,76304,3364,22205.0,,269.0,102546.0,133012,22205.0
2020-10-16,673.0,73612,2288,18840.0,,,95413.0,113026,18840.0
2020-10-17,538.0,88012,4037,20455.0,,269.0,113311.0,130742,20455.0
